distance_miles,elevation_feet
0.0,4044.3
0.0311,4042.8
0.0621,4045.9
0.0932,4059.7
0.1243,4073.5
0.1553,4076.1
0.1864,4078.7
0.2175,4089.0
0.2485,4112.7
0.2796,4140.4
0.3107,4163.4
0.3418,4186.5
0.3728,4211.2
0.4039,4227.7
0.435,4230.0
0.466,4246.5
0.4971,4271.1
0.5282,4280.2
0.5592,4271.3
0.5903,4287.8
0.6214,4312.0
0.6524,4336.3
0.6835,4361.9
0.7146,4389.0
0.7456,4418.5
0.7767,4445.9
0.8078,4463.8
0.8389,4455.6
0.8699,4431.8
0.901,4432.7
0.9321,4451.0
0.9631,4465.0
0.9942,4484.1
1.0253,4503.3
1.0563,4523.2
1.0874,4546.9
1.1185,4563.9
1.1495,4583.9
1.1806,4601.7
1.2117,4606.4
1.2427,4627.8
1.2738,4652.3
1.3049,4671.9
1.336,4672.9
1.367,4689.3
1.3981,4716.8
1.4292,4745.7
1.4602,4769.4
1.4913,4790.5
1.5224,4816.7
1.5534,4844.1
1.5845,4872.8
1.6156,4893.7
1.6466,4910.5
1.6777,4936.5
1.7088,4973.3
1.7398,5011.8
1.7709,5043.3
1.802,5072.4
1.833,5090.9
1.8641,5086.9
1.8952,5084.0
1.9263,5080.7
1.9573,5058.4
1.9884,5065.9
2.0195,5080.6
2.0505,5095.2
2.0816,5110.6
2.1127,5135.1
2.1437,5160.0
2.1748,5179.6
2.2059,5186.2
2.2369,5182.6
2.268,5189.3
2.2991,5200.4
2.3301,5221.4
2.3612,5240.7
2.3923,5260.1
2.4234,5282.7
2.4544,5294.3
2.4855,5292.7
2.5166,5290.2
2.5476,5287.7
2.5787,5289.0
2.6098,5301.5
2.6408,5324.1
2.6719,5344.6
2.703,5359.2
2.734,5378.4
2.7651,5403.7
2.7962,5428.8
2.8272,5457.0
2.8583,5484.3
2.8894,5505.1
2.9205,5534.0
2.9515,5567.2
2.9826,5606.8
3.0137,5645.5
3.0447,5681.8
3.0758,5717.1
3.1069,5752.6
3.1379,5786.1
3.169,5814.3
3.2001,5841.5
3.2311,5857.9
3.2622,5883.8
3.2933,5919.0
3.3243,5946.0
3.3554,5974.4
3.3865,5987.0
3.4176,6006.9
3.4486,6022.0
3.4797,6039.3
3.5108,6057.4
3.5418,6079.6
3.5729,6101.3
3.604,6123.1
3.635,6147.6
3.6661,6164.3
3.6972,6178.5
3.7282,6174.6
3.7593,6160.3
3.7904,6146.6
3.8214,6132.5
3.8525,6120.9
3.8836,6113.8
3.9146,6111.8
3.9457,6109.9
3.9768,6113.6
4.0079,6120.7
4.0389,6120.4
4.07,6124.7
4.1011,6131.1
4.1321,6136.2
4.1632,6143.1
4.1943,6148.6
4.2253,6160.3
4.2564,6165.6
4.2875,6144.2
4.3185,6131.9
4.3496,6125.7
4.3807,6125.0
4.4117,6124.7
4.4428,6126.4
4.4739,6127.3
4.505,6127.9
4.536,6127.6
4.5671,6128.9
4.5982,6129.9
4.6292,6130.6
4.6603,6133.5
4.6914,6143.6
4.7224,6144.4
4.7535,6144.4
4.7846,6152.7
4.8156,6173.6
4.8467,6196.7
4.8778,6221.0
4.9088,6247.0
4.9399,6274.6
4.971,6304.2
5.0021,6334.3
5.0331,6354.3
5.0642,6365.1
5.0953,6381.4
5.1263,6396.0
5.1574,6412.1
5.1885,6422.1
5.2195,6431.6
5.2506,6440.9
5.2817,6451.4
5.3127,6466.5
5.3438,6480.5
5.3749,6501.5
5.4059,6516.2
5.437,6524.3
5.4681,6537.0
5.4991,6553.4
5.5302,6579.1
5.5613,6601.1
5.5924,6617.3
5.6234,6633.2
5.6545,6650.2
5.6856,6663.8
5.7166,6681.8
5.7477,6697.5
5.7788,6712.0
5.8098,6734.5
5.8409,6762.6
5.872,6781.5
5.903,6794.1
5.9341,6812.5
5.9652,6828.6
5.9962,6846.0
6.0273,6862.9
6.0584,6877.1
6.0895,6891.4
6.1205,6909.6
6.1516,6929.2
6.1827,6948.5
6.2137,6967.2
6.2448,6986.4
6.2759,7002.1
6.3069,7023.2
6.338,7045.3
6.3691,7065.8
6.4001,7088.9
6.4312,7110.8
6.4623,7132.1
6.4933,7154.9
6.5244,7175.9
6.5555,7196.7
6.5866,7212.7
6.6176,7233.4
6.6487,7253.9
6.6798,7280.2
6.7108,7308.0
6.7419,7330.0
6.773,7350.1
6.804,7369.2
6.8351,7391.0
6.8662,7408.5
6.8972,7422.0
6.9283,7437.5
6.9594,7451.9
6.9904,7462.6
7.0215,7473.1
7.0526,7486.5
7.0836,7504.1
7.1147,7516.7
7.1458,7530.9
7.1769,7546.8
7.2079,7560.4
7.239,7578.8
7.2701,7600.6
7.3011,7623.0
7.3322,7643.6
7.3633,7666.1
7.3943,7692.6
7.4254,7720.0
7.4565,7748.7
7.4875,7770.5
7.5186,7796.5
7.5497,7820.6
7.5807,7835.6
7.6118,7848.1
7.6429,7834.0
7.674,7834.3
7.705,7852.3
7.7361,7857.0
7.7672,7850.7
7.7982,7857.6
7.8293,7862.3
7.8604,7865.8
7.8914,7868.1
7.9225,7869.7
7.9536,7885.7
7.9846,7918.3
8.0157,7948.0
8.0468,7973.8
8.0778,8009.9
8.1089,8051.7
8.14,8101.2
8.1711,8155.3
8.2021,8211.0
8.2332,8259.3
8.2643,8305.5
8.2953,8346.3
8.3264,8373.6
8.3575,8388.9
8.3885,8399.3
8.4196,8395.3
8.4507,8372.1
8.4817,8365.5
8.5128,8394.1
8.5439,8460.3
8.5749,8534.8
8.606,8609.8
8.6371,8677.5
8.6681,8729.8
8.6992,8765.7
8.7303,8785.1
8.7614,8797.5
8.7924,8804.8
8.8235,8804.8
8.8546,8804.8
8.8856,8804.5
8.9167,8804.7
8.9478,8804.8
8.9788,8804.8
9.0099,8804.8
9.041,8804.6
9.072,8792.4
9.1031,8769.1
9.1342,8744.8
9.1652,8716.7
9.1963,8679.5
9.2274,8635.2
9.2585,8586.6
9.2895,8535.4
9.3206,8485.5
9.3517,8434.8
9.3827,8393.3
9.4138,8370.4
9.4449,8363.6
9.4759,8383.0
9.507,8399.1
9.5381,8391.0
9.5691,8356.9
9.6002,8313.8
9.6313,8263.9
9.6623,8210.7
9.6934,8150.1
9.7245,8091.0
9.7556,8040.0
9.7866,7994.6
9.8177,7959.8
9.8488,7930.5
9.8798,7895.7
9.9109,7873.4
9.942,7868.4
9.973,7867.1
10.0041,7864.2
10.0352,7860.2
10.0662,7853.5
10.0973,7852.7
10.1284,7856.3
10.1594,7844.2
10.1905,7830.1
10.2216,7845.1
10.2527,7840.6
10.2837,7824.9
10.3148,7802.7
10.3459,7773.2
10.3769,7750.3
10.408,7720.0
10.4391,7690.5
10.4701,7662.3
10.5012,7639.3
10.5323,7616.7
10.5633,7593.1
10.5944,7570.1
10.6255,7554.1
10.6565,7537.7
10.6876,7521.7
10.7187,7508.1
10.7497,7490.9
10.7808,7474.8
10.8119,7463.9
10.843,7452.2
10.874,7436.7
10.9051,7420.6
10.9362,7405.4
10.9672,7387.2
10.9983,7363.3
11.0294,7343.2
11.0604,7321.4
11.0915,7295.4
11.1226,7265.6
11.1536,7242.9
11.1847,7219.0
11.2158,7201.8
11.2468,7181.7
11.2779,7158.8
11.309,7134.8
11.3401,7111.9
11.3711,7088.9
11.4022,7064.5
11.4333,7042.6
11.4643,7019.8
11.4954,6997.7
11.5265,6979.7
11.5575,6958.0
11.5886,6936.4
11.6197,6914.3
11.6507,6894.4
11.6818,6878.0
11.7129,6862.9
11.7439,6844.6
11.775,6825.7
11.8061,6807.6
11.8372,6789.4
11.8682,6775.2
11.8993,6747.8
11.9304,6719.5
11.9614,6700.5
11.9925,6685.4
12.0236,6666.2
12.0546,6650.7
12.0857,6632.6
12.1168,6615.4
12.1478,6596.2
12.1789,6571.0
12.21,6547.4
12.241,6529.6
12.2721,6520.8
12.3032,6510.4
12.3342,6493.7
12.3653,6475.1
12.3964,6462.6
12.4275,6448.6
12.4585,6439.0
12.4896,6429.9
12.5207,6421.0
12.5517,6410.8
12.5828,6395.3
12.6139,6381.3
12.6449,6365.7
12.676,6355.0
12.7071,6337.2
12.7381,6309.5
12.7692,6279.7
12.8003,6253.5
12.8313,6227.9
12.8624,6204.5
12.8935,6181.4
12.9246,6160.8
12.9556,6143.8
12.9867,6138.4
13.0178,6135.5
13.0488,6134.5
13.0799,6133.2
13.111,6131.9
13.142,6130.2
13.1731,6128.9
13.2042,6128.0
13.2352,6127.6
13.2663,6128.3
13.2974,6127.3
13.3284,6126.3
13.3595,6123.4
13.3906,6120.7
13.4217,6126.0
13.4527,6127.6
13.4838,6124.1
13.5149,6123.7
13.5459,6123.7
13.577,6123.8
13.6081,6123.7
13.6391,6122.0
13.6702,6122.7
13.7013,6122.7
13.7323,6122.4
13.7634,6123.0
13.7945,6122.7
13.8255,6120.7
13.8566,6120.7
13.8877,6120.1
13.9187,6120.7
13.9498,6115.5
13.9809,6110.4
14.012,6111.0
14.043,6113.5
14.0741,6118.3
14.1052,6128.9
14.1362,6141.2
14.1673,6156.2
14.1984,6168.7
14.2294,6179.1
14.2605,6171.9
14.2916,6155.5
14.3226,6134.6
14.3537,6111.5
14.3848,6090.7
14.4158,6068.4
14.4469,6048.8
14.478,6032.0
14.5091,6015.7
14.5401,5999.7
14.5712,5980.3
14.6023,5961.6
14.6333,5930.2
14.6644,5895.2
14.6955,5862.7
14.7265,5844.5
14.7576,5815.6
14.7887,5784.7
14.8197,5748.0
14.8508,5710.0
14.8819,5670.5
14.9129,5629.4
14.944,5589.5
14.9751,5555.9
15.0062,5527.5
15.0372,5502.7
15.0683,5483.6
15.0994,5459.1
15.1304,5433.2
15.1615,5410.3
15.1926,5387.5
15.2236,5366.7
15.2547,5353.1
15.2858,5337.9
15.3168,5318.3
15.3479,5298.1
15.379,5288.7
15.41,5287.7
15.4411,5290.0
15.4722,5292.0
15.5032,5294.3
15.5343,5289.2
15.5654,5271.4
15.5965,5251.7
15.6275,5235.7
15.6586,5216.0
15.6897,5198.9
15.7207,5188.9
15.7518,5182.8
15.7829,5184.1
15.8139,5190.6
15.845,5178.1
15.8761,5165.0
15.9071,5154.2
15.9382,5127.2
15.9693,5108.2
16.0003,5092.5
16.0314,5074.4
16.0625,5060.8
16.0936,5077.4
16.1246,5082.8
16.1557,5039.8
16.1868,4986.9
16.2178,4930.0
16.2489,4898.1
16.28,4865.2
16.311,4821.1
16.3421,4781.7
16.3732,4748.5
16.4042,4704.4
16.4353,4672.9
16.4664,4664.9
16.4974,4634.7
16.5285,4607.0
16.5596,4600.8
16.5907,4573.6
16.6217,4555.5
16.6528,4532.3
16.6839,4510.1
16.7149,4489.5
16.746,4468.6
16.7771,4454.9
16.8081,4434.4
16.8392,4431.1
16.8703,4450.4
16.9013,4464.6
16.9324,4451.1
16.9635,4426.2
16.9945,4395.3
17.0256,4366.1
17.0567,4337.8
17.0878,4311.6
17.1188,4285.2
17.1499,4272.3
17.181,4279.9
17.212,4263.6
17.2431,4237.1
17.2742,4229.7
17.3052,4218.4
17.3363,4194.0
17.3674,4167.6
17.3984,4143.4
17.4295,4113.3
17.4606,4087.8
17.4916,4078.5
17.5227,4075.0
17.5538,4070.9
17.5848,4052.9
17.6159,4044.5
17.647,4040.7
17.6781,4036.7
17.7091,4033.1
17.7402,4059.2
17.7713,4080.2
17.8023,4107.6
17.8334,4112.7
17.8645,4113.3
17.8955,4110.3
17.9266,4106.2
17.9577,4103.2
17.9887,4100.0
18.0198,4097.1
18.0509,4100.7
18.0819,4094.8
18.113,4079.4
18.1441,4067.2
18.1752,4072.4
18.2062,4077.4
18.2373,4085.5
18.2684,4084.4
18.2994,4075.7
18.3305,4073.6
18.3616,4077.0
18.3926,4082.3
18.4237,4085.2
18.4548,4077.0
18.4858,4062.9
18.5169,4033.5
18.548,3993.0
18.5565,3992.7
